protein_group,sequence_count
sp|A0A2R8Y619|H2BK1_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,3
sp|A0A2R8Y619|H2BK1_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,1
sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|O43524|FOXO3_HUMAN,1
sp|A0A3B3IRV3|MCTS2_HUMAN;sp|Q9ULC4|MCTS1_HUMAN,4
sp|A0A3B3IU46|RMACL_HUMAN;sp|Q9BTL3|RAMAC_HUMAN,1
sp|A0A804HLA8|GBG5B_HUMAN;sp|P63218|GBG5_HUMAN,2
sp|A0A8I5KQE6|RPSA2_HUMAN,1
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,11
sp|A0AV96|RBM47_HUMAN,6
sp|A0AV96|RBM47_HUMAN;sp|Q8TBY0|RBM46_HUMAN;sp|Q9NQ94|A1CF_HUMAN,2
sp|A0AVF1|IFT56_HUMAN,2
sp|A0AVT1|UBA6_HUMAN,23
sp|A0FGR8|ESYT2_HUMAN,15
sp|A0M8Q6|IGLC7_HUMAN,3
sp|A0M8Q6|IGLC7_HUMAN;sp|B9A064|IGLL5_HUMAN;sp|P0CF74|IGLC6_HUMAN;sp|P0CG04|IGLC1_HUMAN;sp|P0DOX8|IGL1_HUMAN;sp|P0DOY2|IGLC2_HUMAN;sp|P0DOY3|IGLC3_HUMAN,2
sp|A0M8Q6|IGLC7_HUMAN;sp|P0CF74|IGLC6_HUMAN;sp|P0DOY2|IGLC2_HUMAN;sp|P0DOY3|IGLC3_HUMAN,2
sp|A0MZ66|SHOT1_HUMAN,9
sp|A0PJW6|TM223_HUMAN,2
sp|A1A519|F170A_HUMAN,1
sp|A1A5B4|ANO9_HUMAN,1
sp|A1A5D9|BICL2_HUMAN,1
sp|A1KZ92|PXDNL_HUMAN,3
sp|A1L0T0|HACL2_HUMAN,10
sp|A1X283|SPD2B_HUMAN,8
sp|A1X283|SPD2B_HUMAN;sp|Q5TCZ1|SPD2A_HUMAN,2
sp|A2A3N6|PIPSL_HUMAN,2
sp|A2A3N6|PIPSL_HUMAN;sp|P55036|PSMD4_HUMAN,2
sp|A2A3N6|PIPSL_HUMAN;sp|Q99755|PI51A_HUMAN,1
sp|A2RRD8|ZN320_HUMAN;sp|P0CJ79|ZN888_HUMAN;sp|P17035|ZNF28_HUMAN;sp|Q3MIS6|ZN528_HUMAN;sp|Q5VIY5|ZN468_HUMAN;sp|Q6ZN06|ZN813_HUMAN;sp|Q7L2R6|ZN765_HUMAN;sp|Q86XN6|ZN761_HUMAN;sp|Q8N782|ZN525_HUMAN;sp|Q96IR2|ZN845_HUMAN;sp|Q96SE7|ZN347_HUMAN;sp|Q9H7R5|ZN665_HUMAN;sp|Q9NV72|ZN701_HUMAN,1
sp|A2RRP1|NBAS_HUMAN,9
sp|A2RTX5|SYTC2_HUMAN;sp|P26639|SYTC_HUMAN,1
sp|A2RU30|TESP1_HUMAN,1
sp|A2RU37|CI170_HUMAN,2
sp|A2RUB6|CCD66_HUMAN,1
sp|A2RUS2|DEND3_HUMAN,4
sp|A3KMH1|VWA8_HUMAN,21
sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN,3
sp|A4D0S4|LAMB4_HUMAN,4
sp|A4D0S4|LAMB4_HUMAN;sp|P55268|LAMB2_HUMAN,1
sp|A4D0V7|CPED1_HUMAN,2
sp|A4D161|F221A_HUMAN,1
sp|A4D1E9|GTPBA_HUMAN,5
sp|A4D1P6|WDR91_HUMAN,4
sp|A4D1S5|RAB19_HUMAN,1
sp|A4D2B0|MBLC1_HUMAN,1
sp|A4D2H0|CTGEF_HUMAN;sp|A4FU28|CTGE9_HUMAN;sp|P0CG41|CTGE8_HUMAN;sp|Q8IX94|CTGE4_HUMAN,1
sp|A4D2H0|CTGEF_HUMAN;sp|Q86UF2|CTGE6_HUMAN;sp|Q96PC5|MIA2_HUMAN,1
sp|A4FU69|EFCB5_HUMAN,1
sp|A4QPB2|LRP5L_HUMAN,1
sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN,1
sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN;sp|Q8N8J0|PI4P1_HUMAN,2
sp|A4UGR9|XIRP2_HUMAN,3
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,3
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A5D8V6|VP37C_HUMAN,1
sp|A5PL33|KRBA1_HUMAN,2
sp|A5YKK6|CNOT1_HUMAN,32
sp|A5YM72|CRNS1_HUMAN,3
sp|A5YM72|CRNS1_HUMAN;sp|Q7Z6Z7|HUWE1_HUMAN,1
sp|A6H8Y1|BDP1_HUMAN,4
sp|A6NC98|CC88B_HUMAN,4
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN,2
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN;sp|Q9H492|MLP3A_HUMAN,2
sp|A6NCK2|TR43B_HUMAN;sp|Q96BQ3|TRI43_HUMAN,1
sp|A6NCL7|AN33B_HUMAN,1
sp|A6NCN2|KR87P_HUMAN;sp|O43790|KRT86_HUMAN;sp|P78385|KRT83_HUMAN;sp|P78386|KRT85_HUMAN;sp|Q14533|KRT81_HUMAN,3
sp|A6NCS6|CB072_HUMAN,1
sp|A6NCW0|U17L3_HUMAN;sp|A6NCW7|U17L4_HUMAN;sp|A8MUK1|U17L5_HUMAN;sp|C9J2P7|U17LF_HUMAN;sp|C9JJH3|U17LA_HUMAN;sp|C9JPN9|UL17C_HUMAN;sp|C9JVI0|U17LB_HUMAN;sp|D6R901|U17LL_HUMAN;sp|D6R9N7|U17LI_HUMAN;sp|D6RA61|U17LM_HUMAN;sp|D6RBM5|U17LN_HUMAN;sp|D6RBQ6|U17LH_HUMAN;sp|D6RCP7|U17LJ_HUMAN;sp|D6RJB6|U17LK_HUMAN;sp|Q0WX57|U17LO_HUMAN;sp|Q6QN14|U17L6_HUMAN;sp|Q6R6M4|U17L2_HUMAN;sp|Q7RTZ2|U17L1_HUMAN,1
sp|A6ND36|FA83G_HUMAN,1
sp|A6NDB9|PALM3_HUMAN,3
sp|A6NDG6|PGP_HUMAN,3
sp|A6NDU8|RIMC1_HUMAN,2
sp|A6NE02|BTBDH_HUMAN,1
sp|A6NEC2|PSAL_HUMAN;sp|P55786|PSA_HUMAN,9
