protein_group,sequence_count
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|Q6S8J3|POTEE_HUMAN,4
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1
sp|A5D8V6|VP37C_HUMAN,1
sp|A5LHX3|PSB11_HUMAN,1
sp|A5PL33|KRBA1_HUMAN,3
sp|A5YKK6|CNOT1_HUMAN,34
sp|A5YM72|CRNS1_HUMAN,3
sp|A6H8Y1|BDP1_HUMAN,1
sp|A6NC78|GOG8I_HUMAN,1
sp|A6NC98|CC88B_HUMAN,1
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN;sp|Q9H492|MLP3A_HUMAN,2
sp|A6NCF5|KLH33_HUMAN,3
sp|A6NCN2|KR87P_HUMAN;sp|O43790|KRT86_HUMAN;sp|P78385|KRT83_HUMAN;sp|P78386|KRT85_HUMAN,1
sp|A6NCN2|KR87P_HUMAN;sp|O43790|KRT86_HUMAN;sp|P78385|KRT83_HUMAN;sp|Q14533|KRT81_HUMAN,1
sp|A6ND36|FA83G_HUMAN,1
sp|A6ND91|ASPDH_HUMAN,3
sp|A6NDB9|PALM3_HUMAN,4
sp|A6NDD5|SYN1L_HUMAN,1
sp|A6NDE4|RBY1B_HUMAN;sp|A6NEQ0|RBY1E_HUMAN;sp|P0C7P1|RBY1D_HUMAN;sp|P0DJD3|RBY1A_HUMAN;sp|P0DJD4|RBY1C_HUMAN;sp|Q15415|RBY1F_HUMAN,1
sp|A6NDG6|PGP_HUMAN,6
sp|A6NDR6|ME3L1_HUMAN;sp|O00470|MEIS1_HUMAN;sp|O14770|MEIS2_HUMAN;sp|Q99687|MEIS3_HUMAN,1
sp|A6NDU8|RIMC1_HUMAN,1
sp|A6NE01|F186A_HUMAN,3
sp|A6NE02|BTBDH_HUMAN,1
sp|A6NE52|WDR97_HUMAN,3
sp|A6NEC2|PSAL_HUMAN;sp|P55786|PSA_HUMAN,16
sp|A6NED2|RCCD1_HUMAN,3
sp|A6NFH5|FBP12_HUMAN,1
sp|A6NFK2|GRCR2_HUMAN,1
sp|A6NFN3|RFOX3_HUMAN;sp|O43251|RFOX2_HUMAN;sp|Q9NWB1|RFOX1_HUMAN,2
sp|A6NGB9|WIPF3_HUMAN,2
sp|A6NGD5|ZSA5C_HUMAN;sp|P0CG00|ZSA5D_HUMAN,1
sp|A6NGG8|PCARE_HUMAN,1
sp|A6NGU5|GGT3_HUMAN;sp|B5MD39|GGTL3_HUMAN;sp|P19440|GGT1_HUMAN;sp|P36268|GGT2_HUMAN;sp|Q14390|GGTL2_HUMAN,1
sp|A6NGU5|GGT3_HUMAN;sp|P19440|GGT1_HUMAN;sp|P36268|GGT2_HUMAN,2
sp|A6NHC0|CAN8_HUMAN,1
sp|A6NHG4|DDTL_HUMAN;sp|P30046|DOPD_HUMAN,2
sp|A6NHL2|TBAL3_HUMAN,6
